Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
He Got Game,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,Spike Lee,Spike Lee,"Drama,Sport",R,1998.0,136.0,6.9,51.0,25.0,21.568,21.568,05.03.1998,7.611,-3.4319999999999986
Aliens in the Attic,A group of kids must protect their vacation home from invading aliens.,John Schultz,"Mark Burton,Adam F. Goldberg","Adventure,Comedy,Family",PG,2009.0,86.0,5.4,24.0,45.0,25.2,57.881,08.02.2009,8.008,-19.8
Bug,An unhinged war veteran holes up with a lonely woman in a spooky Oklahoma motel room. The line between reality and delusion is blurred as they discover a bug infestation.,William Friedkin,,"Drama,Horror,Thriller",R,2006.0,102.0,6.1,37.0,4.0,7.026,8.096,05.27.2007,3.246,3.026
Kundun,"From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.",Martin Scorsese,Melissa Mathison,"Biography,Drama,History",PG-13,1997.0,134.0,7.0,30.0,28.0,5.685,5.685,12.28.1997,0.072,-22.315
Dave,An uncanny Presidential lookalike named Dave is recruited by the Secret Service to become a momentary stand-in for the President of the United States.,Ivan Reitman,Gary Ross,"Comedy,Romance",PG-13,1993.0,110.0,6.9,56.0,28.0,63.271,63.271,05.09.1993,7.307,35.271
Ladybugs,"To climb the corporate ladder to success, a guy agrees to coach the company's all-girls soccer team with the help of his secret weapon: his fiancee's son.",Sidney J. Furie,Curtis Burch,"Comedy,Sport",PG-13,1992.0,90.0,5.5,10.0,20.0,14.796,14.796,03.29.1992,5.18,-5.204000000000001
Baraka,A collection of expertly photographed scenes of human life and religion.,Ron Fricke,"Ron Fricke,Mark Magidson,Genevieve Nicholas",Documentary,R,1992.0,96.0,8.5,41.0,2.0,1.332,1.332,09.26.1993,0.027,-0.6679999999999999
Pooh's Heffalump Movie,"When Roo sets off on his own into the Hundred Acre Wood, he discovers a friendly and playful Heffalump named Lumpy.",Frank Nissen,"Brian Hohlfeld,Evan Spiliotopoulos,A.A. Milne","Animation,Adventure,Comedy",G,2005.0,68.0,6.4,8.2,20.0,18.098,52.858,02.13.2005,5.806,-1.902000000000001
The Cotton Club,"Meet the jazz musicians, dancers, owner, and guests (like gangster Dutch Schultz) of The Cotton Club in 1928-1930s Harlem.",Francis Ford Coppola,"William Kennedy,Mario Puzo,Francis Ford Coppola","Crime,Drama,Music",R,1984.0,129.0,6.5,19.0,58.0,25.929,25.929,12.16.1984,2.904,-32.071
Notorious,"The life and death story of The Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",George Tillman Jr.,"Cheo Hodari Coker,Reggie Rock Bythewood","Biography,Crime,Drama",R,2009.0,122.0,6.7,46.0,20.0,36.844,44.42,01.18.2009,20.498,16.844
El Topo,A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.,Alejandro Jodorowsky,Alejandro Jodorowsky,"Drama,Western",R,1970.0,125.0,7.2,31.0,1.0,0.08,0.16,12.17.2006,0.007,-0.92
Star Wars: The Clone Wars,"After the Republic's victory on Christophsis, Anakin and his new apprentice, Ahsoka Tano, must rescue the kidnapped son of Jabba the Hutt. Political intrigue complicates their mission.",Dave Filoni,"Steven Melching,Henry Gilroy,Scott Murphy","Animation,Action,Adventure",PG,2008.0,98.0,5.9,72.0,8.5,35.162,68.283,08.17.2008,14.611,26.662
Beyond the Black Rainbow,"Despite being under heavy sedation, a young woman tries to make her way out of the Arboria Institute, a secluded, quasifuturistic commune.",Panos Cosmatos,Panos Cosmatos,"Horror,Mystery,Sci-Fi",R,2010.0,110.0,5.9,17.0,1.1,0.056,0.056,05.20.2012,0.005,-1.044
In Order of Disappearance,"After his son is murdered by drug dealers, a snowplow driver starts seeking revenge.",Hans Petter Moland,"Kim Fupz Aakeson,Finn Gjerdrum","Action,Comedy,Crime",R,2014.0,116.0,7.1,29.0,4.577,0.05,0.904,08.28.2016,0.005,-4.527
Curious George,"The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him.",Matthew O'Callaghan,"Margret Rey,Ken Kaufman,Mike Werb","Animation,Adventure,Comedy",G,2006.0,87.0,6.5,18.0,50.0,58.361,69.866,02.12.2006,14.703,8.360999999999997
Freddy's Dead: The Final Nightmare,"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",Rachel Talalay,"Rachel Talalay,Wes Craven,Michael De Luca","Fantasy,Horror",R,1991.0,89.0,4.7,50.0,11.0,34.872,34.872,09.15.1991,12.967,23.872
Tin Cup,A washed-up golf pro working at a driving range tries to qualify for the U.S. Open in order to win the heart of his successful rival's girlfriend.,Ron Shelton,"Ron Shelton,John Norville","Comedy,Drama,Romance",R,1996.0,135.0,6.4,53.0,45.0,53.855,53.855,08.18.1996,10.129,8.854999999999997
Soul Plane,"Things get raucously funny aboard the maiden flight of a black-owned airline, thanks to some last-minute passenger additions.",Jessy Terrero,"Bo Zenga,Chuck Wilson",Comedy,R,2004.0,86.0,4.5,24.0,16.0,14.191,14.822,05.30.2004,5.648,-1.8089999999999995
Into the Storm,"Storm trackers, thrill-seekers, and everyday townspeople document an unprecedented onslaught of tornadoes touching down in the town of Silverton.",Steven Quale,John Swetnam,"Action,Adventure,Drama",PG-13,2014.0,89.0,5.8,71.0,50.0,47.616,161.516,08.10.2014,17.346,-2.3840000000000003
Pawn Sacrifice,"Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.",Edward Zwick,"Steven Knight,Stephen J. Rivele,Christopher Wilkinson","Biography,Drama,History",PG-13,2014.0,115.0,7.0,49.0,19.0,2.437,5.579,09.20.2015,0.202,-16.563
Café Society,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Woody Allen,Woody Allen,"Comedy,Drama,Romance",PG-13,2016.0,96.0,6.6,80.0,30.0,11.103,43.763,07.17.2016,0.359,-18.897
Children of a Lesser God,"A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.",Randa Haines,"James Carrington(uncredited),James Carrington,Mark Medoff,Hesper Anderson","Drama,Romance",R,1986.0,119.0,7.2,18.0,10.5,31.853,31.853,10.05.1986,1.909,21.353
Diary of a Wimpy Kid: The Long Haul,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,David Bowers,"David Bowers,Jeff Kinney","Adventure,Comedy,Family",PG,2017.0,91.0,4.3,11.0,22.0,20.739,40.141,05.21.2017,7.126,-1.2609999999999992
Police Academy 2: Their First Assignment,When a new gang moves into town it's up to the screwball police team to stop them.,"James Signorelli,Jerry Paris,James Signorelli(uncredited)","Barry W. Blaustein,Neal Israel,Pat Proft",Comedy,PG-13,1985.0,87.0,5.8,58.0,7.6,55.6,55.6,03.31.1985,10.676,48.0
American Outlaws,5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,Les Mayfield,"John Rogers,Roderick Taylor","Action,Western",PG-13,2001.0,94.0,5.9,17.0,35.0,13.343,13.679,08.19.2001,4.855,-21.657
Big Game,A young teenager camping in the woods helps rescue the President of the United States when Air Force One is shot down near his campsite.,Jalmari Helander,"Petri Jokiranta,Jalmari Helander","Action,Adventure,Comedy",PG-13,2014.0,90.0,5.4,35.0,8.5,0.025,7.455,06.28.2015,0.017,-8.475
What to Expect When You're Expecting,"Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby and realize that no matter what you plan for, life does not always deliver what is expected.",Kirk Jones,"Heather Hach,Shauna Cross,Heidi Murkoff","Comedy,Drama,Romance",PG-13,2012.0,110.0,5.7,75.0,40.0,41.152,84.384,05.20.2012,10.547,1.152000000000001
SpaceCamp,The young attendees of a space camp find themselves in space for real when their shuttle is accidentally launched into orbit.,Harry Winer,"Clifford Green,Patrick Bailey,Casey T. Mitchell","Adventure,Family,Sci-Fi",PG,1986.0,107.0,5.7,16.0,18.0,9.698,9.698,06.08.1986,2.918,-8.302
Slums of Beverly Hills,"In 1976, a lower-middle-class teenager struggles to cope living with her neurotic family of nomads on the outskirts of Beverly Hills.",Tamara Jenkins,Tamara Jenkins,"Comedy,Drama",R,1998.0,91.0,6.7,14.0,5.0,5.503,5.503,08.16.1998,0.126,0.5030000000000001
The Boondock Saints II: All Saints Day,"The MacManus brothers are living a quiet life in Ireland with their father, but when they learn that their beloved priest has been killed by mob forces, they go back to Boston to bring justice to those responsible and avenge the priest.",Troy Duffy,"Troy Duffy,Taylor Duffy","Action,Crime,Thriller",R,2009.0,118.0,6.2,66.0,8.0,10.273,10.629,11.01.2009,0.547,2.273
The Invisible,A teenager is left invisible to the living after an attack.,David S. Goyer,"Mats Wahl,Christine Roum,Mick Davis","Crime,Drama,Fantasy",PG-13,2007.0,102.0,6.1,36.0,30.0,20.579,26.81,04.29.2007,7.717,-9.421
Blue Streak,A former convict poses as a cop to retrieve a diamond he stole years ago.,Les Mayfield,"Stephen Carpenter,John Blumenthal,Michael Berry","Action,Comedy,Crime",PG-13,1999.0,93.0,6.3,87.0,65.0,68.519,117.758,09.19.1999,19.209,3.519000000000005
Chances Are,"A reincarnated man unknowingly falls in love with his own daughter from his previous life. Once he realizes this, he tries to end their relationship before angels erase his memory.",Emile Ardolino,"Perry Howze,Randy Howze","Comedy,Fantasy,Romance",PG,1989.0,108.0,6.5,13.0,16.0,16.279,16.279,03.12.1989,3.664,0.2789999999999999
Great Balls of Fire!,The life and career of wildly controversial rock 'n' roll star Jerry Lee Lewis.,Jim McBride,"Jack Baran,Myra Lewis,Murray Silver Jr.","Biography,Drama,Music",PG-13,1989.0,108.0,6.3,19.0,16.0,13.741,13.741,07.02.1989,3.808,-2.2590000000000003
The X Files: I Want to Believe,Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.,Chris Carter,"Frank Spotnitz,Chris Carter","Crime,Drama,Horror",PG-13,2008.0,104.0,5.9,93.0,30.0,20.982,69.363,07.27.2008,10.022,-9.018
Dead Again,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives.",Kenneth Branagh,Scott Frank,"Crime,Drama,Mystery",R,1991.0,107.0,6.8,30.0,15.0,38.016,38.016,08.25.1991,3.479,23.016
White Oleander,A teenager journeys through a series of foster homes after her mother goes to prison for committing a crime of passion.,Peter Kosminsky,"Janet Fitch,Mary Agnes Donoghue",Drama,PG-13,2002.0,109.0,7.1,34.0,16.0,16.358,21.672,10.13.2002,5.607,0.3580000000000005
Vampire's Kiss,"After an encounter with a neck-biter, a publishing executive thinks that he's turning into a vampire.",Robert Bierman,Joseph Minion,"Comedy,Crime,Fantasy",R,1988.0,103.0,6.1,20.0,2.0,0.725,0.726,06.04.1989,0.097,-1.275
"Men, Women & Children","A group of high school teenagers and their parents attempt to navigate the many ways the Internet has changed their relationships, their communications, their self-images, and their love lives.",Jason Reitman,"Erin Cressida Wilson,Jason Reitman,Chad Kultgen","Comedy,Drama",R,2014.0,119.0,6.6,33.0,16.0,0.706,1.706,10.05.2014,0.048,-15.294
Sugar & Spice,A popular high-school cheerleader becomes pregnant by the star quarterback and turns to crime to support her desired lifestyle.,Francine McDougall,Mandy Nelson,"Comedy,Crime",PG-13,2001.0,81.0,5.7,15.0,11.0,13.305,16.924,01.28.2001,5.891,2.305
The Muse,"With his career on the skids, a Hollywood screenwriter enlists the aid of a modern-day muse, who proves to test his patience.",Albert Brooks,"Albert Brooks,Monica Mcgowan Johnson",Comedy,PG-13,1999.0,97.0,5.7,11.0,15.0,11.615,11.671,08.29.1999,3.927,-3.385
Kiss of the Dragon,A betrayed intelligence officer enlists the aid of a prostitute to prove his innocence from a deadly conspiracy while returning a favor to her.,Chris Nahon,"Luc Besson,Jet Li,Robert Mark Kamen","Action,Crime,Thriller",R,2001.0,98.0,6.6,66.0,25.0,36.845,64.438,07.08.2001,13.304,11.845
Morgan,A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.,Luke Scott,Seth W. Owen,"Action,Horror,Sci-Fi",R,2016.0,92.0,5.8,46.0,8.0,3.915,8.809,09.04.2016,2.013,-4.085
On Deadly Ground,A blowout firefighter takes on an environmentally destructive oil corporation by causing many deaths and explosions in Alaska.,Steven Seagal,"Robin U. Russin,Ed Horowitz","Action,Adventure,Thriller",R,1994.0,101.0,4.6,25.0,50.0,38.59,38.59,02.21.1994,12.68,-11.409999999999997
Very Bad Things,A prostitute is killed during a bachelor party and the attendees turn on each other as the wedding approaches.,Peter Berg,Peter Berg,"Comedy,Crime,Thriller",R,1998.0,100.0,6.3,49.0,30.0,9.898,9.898,11.29.1998,3.246,-20.102
The Animal,"After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",Luke Greenfield,"Tom Brady,Rob Schneider","Comedy,Sci-Fi",PG-13,2001.0,84.0,4.8,63.0,47.0,57.743,85.191,06.03.2001,19.611,10.743000000000002
The People vs. Larry Flynt,"The story of controversial pornography publisher Larry Flynt, and how he became a defender of free speech.",Milos Forman,"Scott Alexander,Larry Karaszewski","Biography,Drama",R,1996.0,130.0,7.3,99.0,36.0,20.3,20.3,12.29.1996,0.523,-15.7
Jay and Silent Bob Reboot,Jay and Silent Bob inadvertently sign away their names and rights to the new Bluntman and Chronic movie. Now they head to Hollywood to stop the film from being made. Along the way Jay discovers that he is a father.,Kevin Smith,Kevin Smith,"Action,Adventure,Comedy",R,2019.0,105.0,5.6,28.0,10.0,4.589,4.691,10.20.2019,0.094,-5.411
Fly Away Home,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,Carroll Ballard,"Vince McKewin,Robert Rodat,Bill Lishman","Adventure,Drama,Family",PG,1996.0,107.0,6.9,27.0,22.0,25.144,25.144,09.15.1996,4.708,3.1439999999999984
Little,A woman is transformed into her younger self at a point in her life when the pressures of adulthood become too much to bear.,,"Tina Gordon,Tracy Oliver","Comedy,Fantasy,Romance",PG-13,2019.0,109.0,5.5,14.0,20.0,40.86,49.001,04.14.2019,15.405,20.86
Session 9,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.,Brad Anderson,"Stephen Gevedon,Brad Anderson","Drama,Horror,Mystery",R,2001.0,100.0,6.4,62.0,1.5,0.378,1.612,08.12.2001,0.076,-1.122
Showdown in Little Tokyo,"Two L.A. cops with opposing views on what is the best way to uphold the law have to work together to bring down the Yakuza, while trying to protect a beautiful woman.",Mark L. Lester,"Caliope Brattlestreet,Stephen Glantz","Action,Comedy,Crime",R,1991.0,79.0,6.1,20.0,8.0,2.276,2.276,08.25.1991,0.455,-5.724
Screwballs,Frolicking youth comedy about zany high school students set in the 1960s.,Rafal Zielinski,"Jim Wynorski,Linda Shayne",Comedy,R,1983.0,82.0,4.6,3.6,0.8,2.082,2.082,04.03.1983,0.21,1.2819999999999998
Batman: Mask of the Phantasm,Batman is wrongly implicated in a series of murders of mob bosses actually committed by a new vigilante assassin.,"Boyd Kirkland,Frank Paur,Kevin Altieri","Paul Dini,Alan Burnett,Martin Pasko","Animation,Action,Adventure",PG,1993.0,76.0,7.8,55.0,6.0,5.635,5.848,12.26.1993,1.19,-0.3650000000000002
C.H.U.D.,A bizarre series of sudden disappearances on the streets of New York City seems to point toward something unsavory living in the sewers.,Douglas Cheek,"Christopher Curry(uncredited),Shepard Abbott,Christopher Curry,Parnell Hall","Horror,Sci-Fi",R,1984.0,88.0,5.6,14.0,1.25,4.654,4.654,09.03.1984,1.763,3.404
